state,submission_date,submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
HI,3,2020,1894,0.0,0.0,283,0.0,1,0.0,0.0,1,0.0
HI,3,2021,882743,0.0,0.0,2306,293.0,13891,0.0,0.0,24,0.0
HI,4,2020,15502,0.0,0.0,324,0.0,276,0.0,0.0,15,0.0
HI,4,2021,941443,0.0,0.0,2915,349.0,14099,0.0,0.0,20,0.0
HI,5,2020,19461,0.0,0.0,37,0.0,525,0.0,0.0,1,0.0
HI,5,2021,1056206,0.0,0.0,2341,224.0,15135,0.0,0.0,17,0.0
HI,6,2020,22549,0.0,0.0,264,0.0,513,0.0,0.0,1,0.0
HI,6,2021,1073385,0.0,0.0,1356,80.0,15163,0.0,0.0,17,0.0
HI,7,2020,42502,0.0,0.0,1264,0.0,692,0.0,0.0,8,0.0
HI,7,2021,933530,0.0,0.0,2609,145.0,12965,0.0,0.0,12,0.0
HI,8,2020,163203,0.0,0.0,6450,0.0,1283,0.0,0.0,44,0.0
HI,9,2020,327753,0.0,0.0,3858,0.0,3170,0.0,0.0,66,0.0
HI,10,2020,428237,0.0,0.0,2515,0.0,5694,0.0,0.0,82,0.0
HI,11,2020,492982,0.0,0.0,2713,0.0,6751,0.0,0.0,24,0.0
HI,12,2020,599908,0.0,0.0,3318,0.0,8405,0.0,0.0,44,0.0
IA,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
IA,1,2021,9382085,0.0,0.0,38578,10195.0,133129,0.0,0.0,1010,1010.0
IA,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
IA,2,2021,9208698,0.0,0.0,17082,4602.0,146602,0.0,0.0,570,570.0
IA,3,2020,2788,0.0,0.0,497,0.0,25,0.0,0.0,7,0.0
IA,3,2021,10654925,0.0,0.0,14670,4048.0,174698,0.0,0.0,272,272.0
IA,4,2020,83618,0.0,0.0,6648,0.0,1956,0.0,0.0,155,0.0
IA,4,2021,10761274,0.0,0.0,13843,3330.0,176141,0.0,0.0,207,207.0
IA,5,2020,440157,0.0,0.0,12407,0.0,10723,0.0,0.0,372,0.0
IA,5,2021,11439719,0.0,0.0,6582,1528.0,186243,0.0,0.0,105,105.0
IA,6,2020,728228,0.0,0.0,9395,0.0,19533,0.0,0.0,180,0.0
IA,6,2021,11182355,0.0,0.0,2437,352.0,183045,0.0,0.0,83,83.0
IA,7,2020,1146664,0.0,0.0,15635,0.0,24125,0.0,0.0,153,0.0
IA,7,2021,9385027,0.0,0.0,3439,779.0,153867,0.0,0.0,32,32.0
IA,8,2020,1644339,0.0,0.0,20241,1500.0,30558,0.0,0.0,249,0.0
IA,9,2020,2302835,0.0,0.0,24007,1733.0,37073,0.0,0.0,230,0.0
